rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,5719448794,Scooby,https://cn.noxinfluencer.com/instagram/channel/5719448794,-15,badcase,娱乐游戏向，和农业产品推广无关
7,4567472255,LANDIO,https://cn.noxinfluencer.com/instagram/channel/4567472255,0,badcase,以房地产和户外为主，农业产品相关性弱
10,1254360248,Re:wild,https://cn.noxinfluencer.com/instagram/channel/1254360248,-15,badcase,野生动物保护向，和农业产品推广不匹配
12,49809173443,David Shapiro,https://cn.noxinfluencer.com/instagram/channel/49809173443,0,badcase,泛科技产品账号，缺少农业主题证据
16,7119311318,Power Of Africa,https://cn.noxinfluencer.com/instagram/channel/7119311318,-15,badcase,故事娱乐向，和农业产品推广不适配
17,45470593580,Ace ♤,https://cn.noxinfluencer.com/instagram/channel/45470593580,0,badcase,医疗健康向，缺少农业产品相关性
18,14802606916,Ertl,https://cn.noxinfluencer.com/instagram/channel/14802606916,-5,badcase,农场玩具赛道，偏玩具而非农业产品
19,1605553601,US Customs & Border Protection,https://cn.noxinfluencer.com/instagram/channel/1605553601,0,badcase,执法机构账号，和农业产品无直接关联
20,5831550011,Farm4Profit,https://cn.noxinfluencer.com/instagram/channel/5831550011,0,badcase,缺少可用标签和农业主题证据
25,2115096486,BNSF Railway,https://cn.noxinfluencer.com/instagram/channel/2115096486,0,badcase,铁路招聘和摄影向，与农业产品无关
30,1723800278,Freshwaters Illustrated,https://cn.noxinfluencer.com/instagram/channel/1723800278,0,badcase,水资源纪录片向，与农业产品推广无关
35,5279861,DANI  •  KLASS,https://cn.noxinfluencer.com/instagram/channel/5279861,0,badcase,情感日常内容，与农业产品无关
42,2959825071,Animal Outlook | Undercover Investigations,https://cn.noxinfluencer.com/instagram/channel/2959825071,10,badcase,素食/动物维权立场冲突，不适合农业产品推广
46,8441017509,Corteva Biologicals,https://cn.noxinfluencer.com/instagram/channel/8441017509,0,badcase,标签信息不足，无法判断为农业相关
50,2095804648,Satisfying How-Tos,https://cn.noxinfluencer.com/instagram/channel/2095804648,-15,badcase,ASMR/解压格式与农业产品推广强冲突
52,7966785919,Switch4Good,https://cn.noxinfluencer.com/instagram/channel/7966785919,-10,badcase,素食/无乳定位，农业产品推广不匹配
55,2060759021,IFC,https://cn.noxinfluencer.com/instagram/channel/2060759021,0,badcase,金融与发展主题，缺少农业产品相关信号
62,1553261024,POR-15,https://cn.noxinfluencer.com/instagram/channel/1553261024,5,badcase,汽车修复为主，农业标签偏偶发
67,1651579931,Ganjapreneur,https://cn.noxinfluencer.com/instagram/channel/1651579931,0,badcase,大麻行业为主，和通用农业产品不够贴合
68,3699322,Grist,https://cn.noxinfluencer.com/instagram/channel/3699322,0,badcase,气候环保媒体，不是农业产品推广场景
74,1975038226,Parsons Healthy Materials Lab,https://cn.noxinfluencer.com/instagram/channel/1975038226,0,badcase,材料健康方向，和农业产品推广无直接关联
79,1069406705,Fay Ranches,https://cn.noxinfluencer.com/instagram/channel/1069406705,0,badcase,以地产/纪录/野生动物为主，缺少农产品信号
86,48391272596,Historic Propertunities,https://cn.noxinfluencer.com/instagram/channel/48391272596,0,badcase,几乎无农业相关标签，不适合
92,35850335,Lynn Richardson,https://cn.noxinfluencer.com/instagram/channel/35850335,0,badcase,业务/生活类账号，缺少农业信号
97,78597625739,Dr.Banana,https://cn.noxinfluencer.com/instagram/channel/78597625739,0,badcase,完全无相关标签
98,299467049,Wrestling Club at FAMU,https://cn.noxinfluencer.com/instagram/channel/299467049,-15,badcase,竞技摔跤为主，与农产品无关
100,212257211,Sheri Winter Parker | North Fork Real Estate | Corcoran,https://cn.noxinfluencer.com/instagram/channel/212257211,0,badcase,地产账号，和农产品推广不匹配
111,295125081,Honolulu Civil Beat,https://cn.noxinfluencer.com/instagram/channel/295125081,1,badcase,新闻号，仅有弱食品相关信号
116,16338546656,Trillionaire Estates ⚜️,https://cn.noxinfluencer.com/instagram/channel/16338546656,0,badcase,家居地产方向，与农产品无关
117,214160754,BID,https://cn.noxinfluencer.com/instagram/channel/214160754,0,badcase,区域科技/社会议题号，相关性很弱
119,1624328491,Bayer,https://cn.noxinfluencer.com/instagram/channel/1624328491,0,badcase,偏健康/科技企业号，与农产品不匹配
120,2719486839,Backslash,https://cn.noxinfluencer.com/instagram/channel/2719486839,0,badcase,科技/商业为主，农产品相关性不足
136,21170239184,Washington Post climate coverage,https://cn.noxinfluencer.com/instagram/channel/21170239184,-5,badcase,气候新闻与农产品推广关联弱，偏离目标受众
138,27007789517,Director of Field Operations,https://cn.noxinfluencer.com/instagram/channel/27007789517,-15,badcase,执法安全类内容与农产品推广明显不符
149,23558737,UN Development Programme,https://cn.noxinfluencer.com/instagram/channel/23558737,-5,badcase,议题过泛，缺少农产品推广相关信号
156,1112272263,Marbleseed,https://cn.noxinfluencer.com/instagram/channel/1112272263,0,badcase,无标签无内容，农业相关证据不足
158,45463738402,The Saddle Shoppe,https://cn.noxinfluencer.com/instagram/channel/45463738402,0,badcase,西部小店风格，农产品受众不明显
163,1998417579,Mirr Ranch Group,https://cn.noxinfluencer.com/instagram/channel/1998417579,0,badcase,无标签，且更像牧场地产品牌
167,2173374555,Chula Beauregard Fine Art,https://cn.noxinfluencer.com/instagram/channel/2173374555,0,badcase,纯艺术频道，与农产品推广无关
168,2543011914,Free From Harm,https://cn.noxinfluencer.com/instagram/channel/2543011914,-15,badcase,素食/动物保护定位，与农产品推广冲突
171,58425622961,The Regenaissance,https://cn.noxinfluencer.com/instagram/channel/58425622961,0,badcase,名称疑似再生农业，但缺少标签佐证
175,1642053041,"Rowdy Girl Sanctuary, Inc.",https://cn.noxinfluencer.com/instagram/channel/1642053041,5,badcase,农业标签被素食/动物保护定位压制
183,4059039426,Sacramento History Museum,https://cn.noxinfluencer.com/instagram/channel/4059039426,-15,badcase,museum/history/ASMR，属于明显格式不匹配
184,15902015404,Stealth Machine Tools inc,https://cn.noxinfluencer.com/instagram/channel/15902015404,0,badcase,无相关标签，频道形态不适合推广农业产品
186,3896539150,Pratt GA/LA/UD,https://cn.noxinfluencer.com/instagram/channel/3896539150,0,badcase,设计/教育/建筑方向，和农业无关
187,1443918922,Aga Khan Development Network,https://cn.noxinfluencer.com/instagram/channel/1443918922,0,badcase,发展/教育/气候为主，缺少农业产品证据
196,31021837823,420 WASTED,https://cn.noxinfluencer.com/instagram/channel/31021837823,0,badcase,无相关标签，频道形态不适合推广农业产品
201,1771942368,UVM Extension NWCS,https://cn.noxinfluencer.com/instagram/channel/1771942368,0,badcase,无标签、无内容证据，难判断为农产品推广渠道
210,1800460500,High Point Land Company,https://cn.noxinfluencer.com/instagram/channel/1800460500,0,badcase,无标签无内容，和农产品推广关联不足
225,2998572480,Genuine MS®,https://cn.noxinfluencer.com/instagram/channel/2998572480,0,badcase,无有效标签与内容，无法支撑农产品推广判断
228,2013096665,Casey Seber,https://cn.noxinfluencer.com/instagram/channel/2013096665,0,badcase,缺少农业或产品相关证据
238,47005643627,Universal Motion Components®,https://cn.noxinfluencer.com/instagram/channel/47005643627,0,badcase,机械通用组件主题，和农产品无关
241,45385243847,Rep Tracey Mann,https://cn.noxinfluencer.com/instagram/channel/45385243847,0,badcase,政治账号，不是农产品推广场景
244,3192187265,UbiQD,https://cn.noxinfluencer.com/instagram/channel/3192187265,0,badcase,缺少农业产品相关语境
247,8174110031,Matt Starr Fine Art,https://cn.noxinfluencer.com/instagram/channel/8174110031,0,badcase,艺术内容与农产品推广不匹配
249,57810078006,Daily Historian,https://cn.noxinfluencer.com/instagram/channel/57810078006,0,badcase,历史教育向，缺少农业产品受众
250,38887583329,GroundswellFilm,https://cn.noxinfluencer.com/instagram/channel/38887583329,-5,badcase,娱乐内容，和农业产品推广明显不匹配
