rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,4174292884,Hong Fishing TV,https://cn--xtb.noxinfluencer.com/instagram/channel/4174292884,0,badcase,缺少农业语境，偏钓鱼内容，不适合农产品推广
15,11663268948,1st Products Inc,https://cn--xtb.noxinfluencer.com/instagram/channel/11663268948,0,badcase,缺少可用农业信号，产品名过泛
19,1254360248,Re:wild,https://cn--xtb.noxinfluencer.com/instagram/channel/1254360248,-15,badcase,野生动物保护向，和农产品推广明显错位
20,12615345441,Big Sprinkler,https://cn--xtb.noxinfluencer.com/instagram/channel/12615345441,0,badcase,无农业标签，品类指向不清，相关度不足
29,1433994730,Damian Mason,https://cn--xtb.noxinfluencer.com/instagram/channel/1433994730,0,badcase,无标签无视频证据，无法确认农业产品受众
34,14802606916,Ertl,https://cn--xtb.noxinfluencer.com/instagram/channel/14802606916,5,badcase,玩具农场内容与真实农业产品推广错位
43,1526484406,Carmen Pratt,https://cn--xtb.noxinfluencer.com/instagram/channel/1526484406,0,badcase,以 vegan/动物话题为主，和农产品不符
48,15902015404,Stealth Machine Tools inc,https://cn--xtb.noxinfluencer.com/instagram/channel/15902015404,0,badcase,机加工工具公司，和农业产品受众不符
50,1651579931,Ganjapreneur,https://cn--xtb.noxinfluencer.com/instagram/channel/1651579931,0,badcase,大麻行业垂直，和泛农业产品受众偏离
54,1723800278,Freshwaters Illustrated,https://cn--xtb.noxinfluencer.com/instagram/channel/1723800278,0,badcase,水域/纪录片内容，和农产品推广无关
60,1800460500,High Point Land Company,https://cn--xtb.noxinfluencer.com/instagram/channel/1800460500,0,badcase,土地公司信息不足，和农产品推广关联弱
61,1823326639,Alamo RC&D Area Inc.,https://cn--xtb.noxinfluencer.com/instagram/channel/1823326639,0,badcase,区域发展机构偏泛，缺少农产品推广证据
68,1975038226,Parsons Healthy Materials Lab,https://cn--xtb.noxinfluencer.com/instagram/channel/1975038226,0,badcase,标签偏设计/材料研究，与农业产品推广无关
71,2013096665,Casey Seber,https://cn--xtb.noxinfluencer.com/instagram/channel/2013096665,0,badcase,缺少农业相关标签与内容证据
74,2053272715,Winrock International,https://cn--xtb.noxinfluencer.com/instagram/channel/2053272715,0,badcase,国际发展机构过于泛，缺少农产品推广证据
77,2095804648,Satisfying How-Tos,https://cn--xtb.noxinfluencer.com/instagram/channel/2095804648,-15,badcase,ASMR舒缓内容与农产品推广强冲突
80,2115096486,BNSF Railway,https://cn--xtb.noxinfluencer.com/instagram/channel/2115096486,0,badcase,铁路招聘主题，和农产品推广关系弱
82,212257211,Sheri Winter Parker | North Fork Real Estate | Corcoran,https://cn--xtb.noxinfluencer.com/instagram/channel/212257211,0,badcase,房产主题偏离农产品推广场景
85,21847580913,RankingRoyals,https://cn--xtb.noxinfluencer.com/instagram/channel/21847580913,0,badcase,旅游科技娱乐向，农业主题缺失
97,2325197546,Future Generations University,https://cn--xtb.noxinfluencer.com/instagram/channel/2325197546,0,badcase,学校名义但无农业内容证据
104,2543011914,Free From Harm,https://cn--xtb.noxinfluencer.com/instagram/channel/2543011914,-15,badcase,反动物产品/素食立场强，和农业产品推广冲突
107,27007789517,Director of Field Operations,https://cn--xtb.noxinfluencer.com/instagram/channel/27007789517,-15,badcase,执法安保类受众，与农业产品推广无关
111,2959825071,Animal Outlook | Undercover Investigations,https://cn--xtb.noxinfluencer.com/instagram/channel/2959825071,5,badcase,动物保护调查立场强，和农业产品推广冲突
113,299467049,Wrestling Club at FAMU,https://cn--xtb.noxinfluencer.com/instagram/channel/299467049,-15,badcase,体育社团内容，和农业产品推广无关
123,321882313,Farm Sanctuary,https://cn--xtb.noxinfluencer.com/instagram/channel/321882313,5,badcase,动物保护取向强，和农业产品推广冲突
126,3312894391,"Ruhter Auction & Realty, Inc.",https://cn--xtb.noxinfluencer.com/instagram/channel/3312894391,0,badcase,无相关标签和视频，难判断农业产品推广受众
132,34631451584,Lundell Plastics,https://cn--xtb.noxinfluencer.com/instagram/channel/34631451584,0,badcase,无标签无视频，缺少农业产品相关证据
140,37991402961,The Get Real Alliance,https://cn--xtb.noxinfluencer.com/instagram/channel/37991402961,3,badcase,只见土壤/气候语境，和农业产品推广距离较远
141,3970522053,Kentucky Hemp Works,https://cn--xtb.noxinfluencer.com/instagram/channel/3970522053,0,badcase,偏天然护肤品牌，和农业产品推广关联弱
146,42594859428,Columbia/Okura LLC,https://cn--xtb.noxinfluencer.com/instagram/channel/42594859428,0,badcase,无标签无视频，无法支持农业产品相关判断
154,45470593580,Ace ♤,https://cn--xtb.noxinfluencer.com/instagram/channel/45470593580,0,badcase,医疗健康向，与农业产品无关
156,4567472255,LANDIO,https://cn--xtb.noxinfluencer.com/instagram/channel/4567472255,0,badcase,地产/狩猎向，与农业产品主题偏离
157,45792040787,Eco-GEM,https://cn--xtb.noxinfluencer.com/instagram/channel/45792040787,0,badcase,无标签证据，难判断相关性
162,47005643627,Universal Motion Components®,https://cn--xtb.noxinfluencer.com/instagram/channel/47005643627,0,badcase,无标签证据，和农业产品无关
