rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
18,UCB8xFF-hgG9p6gf06kE7LHw,The Celeb Insider,https://cn--xtb.noxinfluencer.com/youtube/channel/UCB8xFF-hgG9p6gf06kE7LHw,8,badcase,娱乐八卦式 celebrity lifestyle，推广型创作者属性弱
56,UCID66ZkESv5WbaUfT-WHN5w,Lwkdnwjxbiabd,https://cn--xtb.noxinfluencer.com/youtube/channel/UCID66ZkESv5WbaUfT-WHN5w,0,badcase,以lofi音乐为主，生活方式标签弱，创作者推广不匹配
98,UCjlddd4BeK028Av428tFDkw,Grey’s World,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjlddd4BeK028Av428tFDkw,6,badcase,娱乐短视频为主，生活方式推广承接差
139,UCel8sSPsdbyUCpkR0bgwc6w,ZaHo Insta Fashion,https://cn--xtb.noxinfluencer.com/youtube/channel/UCel8sSPsdbyUCpkR0bgwc6w,12,badcase,虽有 lifestyle 标签，但近期几乎全是模特百科，和生活推广偏离
157,UCtgHzc5-l1My5I_tw850SQA,Yung Bl4ck,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtgHzc5-l1My5I_tw850SQA,-5,badcase,娱乐/犯罪/音乐为主，生活方式定位不成立
195,UCyYfDU_UKVPfACdVMmp1i6g,Isiss Dior,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyYfDU_UKVPfACdVMmp1i6g,0,badcase,虽有生活方式标签，但以娱乐八卦/剧情互动为主，不适合
211,UCRBkZtvla7s4CDiSkiRi9kg,NOOBDAG MIME,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRBkZtvla7s4CDiSkiRi9kg,0,badcase,有lifestyle标签，但近期以游戏/梗图为主，生活方式受众弱
216,UCc4gGlSkRzphVI7-HH8t7RQ,Mix celebrity World,https://cn--xtb.noxinfluencer.com/youtube/channel/UCc4gGlSkRzphVI7-HH8t7RQ,0,badcase,有lifestyle标签，但核心是名人/政治传记资讯
235,UCQzJ7otsvfSGm8T0nyGPOAw,Jason & Lucia,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQzJ7otsvfSGm8T0nyGPOAw,10,badcase,以喜剧恶搞为主，生活方式受众不匹配
261,UCsKCh3ZwXIJ9KBnZYTm8IWA,Thank God Prayer,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsKCh3ZwXIJ9KBnZYTm8IWA,10,badcase,标签有lifestyle但近10条多为家庭/健康戏剧，推广适配弱
274,UCMcZMH-uRwyocefO7UBOgtw,🧿31 frames🪬,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMcZMH-uRwyocefO7UBOgtw,10,badcase,虽有Lifestyle标签，但近期几乎全是评论/直播内容
276,UCEKJzGwBMDpmK51v5JIezUw,WKRN News 2,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEKJzGwBMDpmK51v5JIezUw,10,badcase,新闻台以时政资讯为主，生活方式只是栏目标签
312,UCWqGtKxOnz4s75EDMykHcDg,Money Matters,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWqGtKxOnz4s75EDMykHcDg,-2,badcase,频道主轴是人物传记和网红故事，和生活方式推广不匹配
320,UCJK3FPmedJGhjeOYJk2UGpA,Voice Of Jahid,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJK3FPmedJGhjeOYJk2UGpA,-4,badcase,娱乐故事号为主，近期全是人物生平和传记类内容
329,UCiNAR06dRIpWbnJfEt-D0zg,Kdrama House,https://cn--xtb.noxinfluencer.com/youtube/channel/UCiNAR06dRIpWbnJfEt-D0zg,10,badcase,近10条全是名人/剧集资讯，生活方式推广承接弱
330,UCPI93wBk6KEhfDAU5g2gx2Q,KNOW YOUR CELEBRITIES,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPI93wBk6KEhfDAU5g2gx2Q,10,badcase,近期全是名人讣闻/履历内容，非生活方式创作者
363,UCtAcVVODP97zU2HnLmbkJMA,ASTRO LIFE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtAcVVODP97zU2HnLmbkJMA,10,badcase,近10条几乎全是星座资讯，生活方式标签过泛
376,UCMbvTF91O--bhwmg9dTMAPA,Geck,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMbvTF91O--bhwmg9dTMAPA,-5,badcase,娱乐播客为主，生活方式标签偏泛，内容不匹配
380,UCCL9psoallPWHKhJ75yMQmw,America Nu Network,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCL9psoallPWHKhJ75yMQmw,-2,badcase,音乐访谈娱乐为主，生活方式相关性弱
394,UC12LgFUca0tLCKCeLn2XftA,Eduard Martirosyan,https://cn--xtb.noxinfluencer.com/youtube/channel/UC12LgFUca0tLCKCeLn2XftA,10,badcase,偏娱乐段子，lifestyle 标签不足以支撑推广
400,UClbazaprSeX5nVe1DpJl75Q,CvltureNet,https://cn--xtb.noxinfluencer.com/youtube/channel/UClbazaprSeX5nVe1DpJl75Q,11,badcase,娱乐体育资讯为主，生活方式相关性弱
418,UC6YohHdw_FqsCJlePIOjwlg,Shinmon,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6YohHdw_FqsCJlePIOjwlg,10,badcase,虽有 lifestyle 标签，但近期全是游戏/动漫解说，明显不匹配
449,UC4z5lALrYNZsbFTID4JmG4g,Ramana Maharshi's Guidance [Tamil],https://cn--xtb.noxinfluencer.com/youtube/channel/UC4z5lALrYNZsbFTID4JmG4g,5,badcase,宗教/灵修受众与生活方式产品推广目标不匹配
464,UCatV4dnJed21HFy0cqWdpTg,BERHAN TUBE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCatV4dnJed21HFy0cqWdpTg,4,badcase,以 testimony/宗教故事为主，生活方式推广不匹配
470,UCY_vF71uvGpfptgIejYAqDw,Let's Stella,https://cn--xtb.noxinfluencer.com/youtube/channel/UCY_vF71uvGpfptgIejYAqDw,6,badcase,ASMR 烹饪为主，格式不利于商品推广
488,UCRBnKTYAukf_Stawz6egLJQ,Celeb Digest,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRBnKTYAukf_Stawz6egLJQ,-5,badcase,拳击资讯占主导，近10条几乎全不匹配生活方式推广
491,UC4CoHBR01SHu6fMy2EaeWcg,FREAKBAiT,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4CoHBR01SHu6fMy2EaeWcg,-5,badcase,内容偏娱乐叙事，和生活方式推广场景不匹配
