competitor,type,target_segment,positioning,core_use_cases,key_features,pricing_packaging,distribution_channels,integrations,proof_points,weaknesses,customer_complaints,recent_moves,evidence_ids,confidence
HypeAuditor,风险质量,品牌/代理商/达人营销团队,达人真实性与受众质量分析,假粉检测;互动真实性;受众质量,Audience quality;engagement authenticity;fake follower check,中高客单价/专业版,官网/销售,"社媒平台数据",风险质量是成熟卖点,偏单点风控而非 Nox 全链路,未知,持续强化 fraud/audience quality,E-004,0.85
Modash,风险质量+监控+ROI,DTC/中端品牌,达人发现分析监控归因一体化,达人分析;内容监控;Shopify links/codes attribution,Fake followers;audience demographics;collect content;measure results,SaaS 订阅,官网/自助,"Shopify,Gmail,Outlook",中小品牌需要 vetting-monitoring-ROI 轻闭环,企业治理深度弱于 CreatorIQ,未知,强化 Shopify-first creator ops,E-005,0.85
CreatorIQ,企业达人营销基础设施,Enterprise/全球品牌,Creator marketing OS,品牌安全;适配;治理;报告,Brand safety vs brand suitability;enterprise governance,企业报价,销售驱动,企业系统/社媒平台,品牌安全不仅是避险也是适配,重型平台实施成本高,未知,AI-native 叙事,E-006,0.75
Shopify Collabs,创作者电商归因,Shopify 商家,平台内 creator affiliate,邀约;折扣码;affiliate sales tracking;付款,Direct invite;instant commission;affiliate applications,平台能力/Shopify 生态,Shopify admin,Shopify orders/payments,电商归因基础设施成熟,局限于 Shopify 生态,未知,持续强化 creator commerce,E-007,0.90
Amazon Creator Connections,创作者电商归因,Amazon 品牌,Marketplace creator campaign,品牌连接 Amazon Creators;campaign performance,Creator marketplace campaign;performance monitoring,平台能力,Amazon Ads,Amazon marketplace,Marketplace 内归因和 creator campaign 平台化,局限于 Amazon 生态,未知,creator campaign 基础设施,E-008,0.85
TikTok Shop Affiliate,创作者电商归因,TikTok Shop seller,原生联盟合作,Open/Target collaboration;佣金;样品;creator performance,Commission;sample management;performance,平台能力,TikTok Shop Seller Center,TikTok Shop orders/affiliate,创作者电商从曝光走向销售项目,局限于 TikTok Shop 生态,未知,联盟营销持续增强,E-009,0.75
Meta Creator Marketplace,素材复投/内容放大,品牌/广告主,发现创作者并放大创作者内容,Creator discovery;Partnership Ads,Partnership ads;scale campaigns,广告平台能力,Meta Business,Meta ads/Instagram,支持素材授权和付费放大工作流,偏广告生态内闭环,未知,Partnership Ads,E-010,0.85
Motion,素材复投/Creative Analytics,广告投放团队/增长团队,广告素材分析和 winning patterns,Hook/format/messaging/visuals 分析;趋势解释,AI creative strategist;winning patterns,SaaS 订阅,官网/销售,广告账户,证明素材元素分析已成熟,需要广告账户数据支持强判断,未知,AI creative strategist,E-011,0.85
VidMob,Creative Analytics,企业广告主,用创意数据解释 business outcomes,Creative quality;predictive scores;media decisioning,AI creative analytics;creative impact on ROI,企业报价,销售驱动,广告平台/企业系统,把素材表现和业务结果连接,重型企业产品,未知,Creative analytics to ROI,E-012,0.85
TikTok Creative Center,创意发现/榜单,广告主/创作者/品牌,官方趋势和广告案例入口,Top Ads;Trends;Creative tools,平台推荐/趋势工具,免费平台能力,TikTok Ads, TikTok,动态发现和榜单的官方参照,平台单一且偏广告灵感,未知,趋势/Top Ads,E-013,0.90
Foreplay,创意库/ad inspiration,DTC/广告团队,保存和分析竞品广告/创意,Save ads;competitor tracking;hooks;swipe file,AI briefs/analysis,SaaS 订阅,官网/插件,Meta/TikTok ads 等,普通创意库已是成熟赛道,缺少 Nox 创作者合作与归因上下文,未知,AI creative workflow,E-014,0.80
Creatify,AI 视频生成,DTC/电商/广告团队,从 URL/素材生成视频广告,URL to video;avatars;scripts;product videos,Generative video,SaaS 订阅,官网/API,电商产品页/素材,供给侧视频生成门槛下降,同质化高且非 Nox 主链路,价格/真实感/效果不确定,AI UGC/product video,E-015;E-016,0.85
