rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,7103966846822548526,Noah Stern,https://cn--xtb.noxinfluencer.com/tiktok/channel/7103966846822548526,-2,badcase,ASMR格式与咖啡机推广不匹配，缺少评测导购
9,6791999842429977605,Yendy,https://cn--xtb.noxinfluencer.com/tiktok/channel/6791999842429977605,-9,badcase,美容发型为主，咖啡仅零散提及，不适合咖啡机推广
11,7611103834513376270,Work Boot Hub,https://cn--xtb.noxinfluencer.com/tiktok/channel/7611103834513376270,-10,badcase,工作靴号，咖啡机仅蹭词，相关性极低
16,7478057953461552174,Madina Archakova,https://cn--xtb.noxinfluencer.com/tiktok/channel/7478057953461552174,-10,badcase,时尚穿搭频道，与咖啡机推广几乎无关，近10条也无相关内容
21,7205854488393270314,ecozy Appliances,https://cn--xtb.noxinfluencer.com/tiktok/channel/7205854488393270314,-10,badcase,冰机/ASMR账号，咖啡机内容偏感官化，缺少导购
24,6551342801488920586,Charles Adair,https://cn--xtb.noxinfluencer.com/tiktok/channel/6551342801488920586,0,badcase,几乎无咖啡机相关信号，近期内容也未体现推广能力
30,7200891841730200618,Limitless X,https://cn--xtb.noxinfluencer.com/tiktok/channel/7200891841730200618,-9,badcase,补剂与脑力主题为主，咖啡只是借势，相关度低
34,7243985132037981227,OH SHOW,https://cn--xtb.noxinfluencer.com/tiktok/channel/7243985132037981227,-10,badcase,以吃播/杂项为主，咖啡机不是核心内容
35,6844380302711669765,ANDRUS,https://cn--xtb.noxinfluencer.com/tiktok/channel/6844380302711669765,-10,badcase,主要是美甲内容，咖啡仅作标题点缀
40,6677181174785704965,Taylor Beach,https://cn--xtb.noxinfluencer.com/tiktok/channel/6677181174785704965,-9,badcase,生活方式号偶发咖啡内容，机器推广支撑不足
47,7277077319469646894,Vicky_RealFactory,https://cn--xtb.noxinfluencer.com/tiktok/channel/7277077319469646894,10,badcase,服装工厂为主，咖啡机只是标签，受众与场景错位
53,6821242861204866054,Альбиночка,https://cn--xtb.noxinfluencer.com/tiktok/channel/6821242861204866054,-4,badcase,近10条大多无关，仅零星咖啡机提及，相关性弱
57,6795377362911429638,Valeria Anay,https://cn--xtb.noxinfluencer.com/tiktok/channel/6795377362911429638,-9,badcase,账号主体偏杂，最近内容大多与咖啡机无关
66,6612462727078707206,Chris,https://cn--xtb.noxinfluencer.com/tiktok/channel/6612462727078707206,-5,badcase,以咖啡制作和ASMR为主，缺少咖啡机评测/导购信号
77,7106752737009730565,qiuhui2022,https://cn--xtb.noxinfluencer.com/tiktok/channel/7106752737009730565,-8,badcase,工业机械出口为主，和消费级咖啡机推广语境不匹配
87,6805653938268898310,Victoria.torii,https://cn--xtb.noxinfluencer.com/tiktok/channel/6805653938268898310,-9,badcase,内容几乎与咖啡机无关，近期也基本是社交/娱乐
92,1938461,Bella Reed,https://cn--xtb.noxinfluencer.com/tiktok/channel/1938461,-8,badcase,BookTok为主，咖啡只属轻度标签，近期也不匹配
98,6876985068544574469,tattoed_christmas_baby,https://cn--xtb.noxinfluencer.com/tiktok/channel/6876985068544574469,1,badcase,只有一条新咖啡机内容，其余大多是随机日常
103,7040354510102938626,灶为易 厂家批发 智能自动炒菜机 自動炒菜機~炒飯機~炒粉機,https://cn--xtb.noxinfluencer.com/tiktok/channel/7040354510102938626,-8,badcase,工业炒菜机厂家，主营设备与咖啡机消费场景不一致
111,6748116354808185861,Mason,https://cn--xtb.noxinfluencer.com/tiktok/channel/6748116354808185861,-16,badcase,主内容是猫宠和杂谈，咖啡机只是一条偶发提及，不适合投放
113,261120596200030208,Miranda Papiersky,https://cn--xtb.noxinfluencer.com/tiktok/channel/261120596200030208,-8,badcase,家居装饰账号，咖啡相关只是偶发开箱，投放相关性弱
122,7575622707829113870,Gaby raudales.tiktok shop,https://cn--xtb.noxinfluencer.com/tiktok/channel/7575622707829113870,-10,badcase,泛带货账号，近10条与咖啡机无关，缺少可验证关联
129,7389739150696105002,💐🥰ₘᵣₛ ⱼᵤₜₜ🌹🇺🇸,https://cn--xtb.noxinfluencer.com/tiktok/channel/7389739150696105002,-4,badcase,爱国杯和泛流量为主，咖啡机只是偶发词
139,6643170578440912902,Vincenza (aka Vinni),https://cn--xtb.noxinfluencer.com/tiktok/channel/6643170578440912902,-11,badcase,GRWM和日常为主，几乎没有咖啡机方向
140,7360255817530803246,Chef Automatic cooking machine,https://cn--xtb.noxinfluencer.com/tiktok/channel/7360255817530803246,-13,badcase,做的是炒菜机，不是咖啡机，品类和受众都不对
147,7565937907959546902,Silent Cuts,https://cn--xtb.noxinfluencer.com/tiktok/channel/7565937907959546902,-15,badcase,咖啡标签在，但近10条全是理发ASMR，格式严重不符
148,7486381881157895214,Packing Brothers,https://cn--xtb.noxinfluencer.com/tiktok/channel/7486381881157895214,-7,badcase,咖啡棒包装机不是咖啡机，工业包装方向不匹配
158,6720409225586263046,Hailey Wilson,https://cn--xtb.noxinfluencer.com/tiktok/channel/6720409225586263046,-17,badcase,美业频道，咖啡机只算零散提及，不适合主投
162,6805288718812218374,meeeshell,https://cn--xtb.noxinfluencer.com/tiktok/channel/6805288718812218374,-15,badcase,健身频道与咖啡机推广关联弱，近期咖啡内容不足
164,7200242410794107950,🎀Mamma Anastasia🎀,https://cn--xtb.noxinfluencer.com/tiktok/channel/7200242410794107950,-13,badcase,母婴家居频道，和咖啡机推广无明显相关
166,6981958683123385349,Gymrat007,https://cn--xtb.noxinfluencer.com/tiktok/channel/6981958683123385349,-13,badcase,娱乐/体育向频道，咖啡机内容几乎没有，不适合
178,305455067892072448,CEE | SaiTheDoula🤱🏾,https://cn--xtb.noxinfluencer.com/tiktok/channel/305455067892072448,-8,badcase,母婴产后号，和咖啡机推广不相关
182,52880583051227136,reee.exploresnyc,https://cn--xtb.noxinfluencer.com/tiktok/channel/52880583051227136,-6,badcase,无稳定咖啡垂类，仅少量咖啡机提及
215,7234323067209073710,SCAT MOBILE🐝🦇,https://cn--xtb.noxinfluencer.com/tiktok/channel/7234323067209073710,-10,badcase,近期几乎全是车内容，和咖啡机推广不符
220,6782740529861198853,Gab 🧿 | Intuitive Lifestyle,https://cn--xtb.noxinfluencer.com/tiktok/channel/6782740529861198853,-10,badcase,以咖啡ASMR/生活内容为主，缺少咖啡机评测购买信号，促销匹配差
221,7275675294567531563,AriaMist,https://cn--xtb.noxinfluencer.com/tiktok/channel/7275675294567531563,-5,badcase,美妆睫毛号，虽有咖啡机标签但近10条全不相关
231,7338734225665328170,Daniel finds,https://cn--xtb.noxinfluencer.com/tiktok/channel/7338734225665328170,-10,badcase,最新内容全是狗狗，和咖啡机推广明显无关
234,10108356,Sofie Marie,https://cn--xtb.noxinfluencer.com/tiktok/channel/10108356,-21,badcase,ASMR 为主，属于强格式错配，不适合咖啡机推广
