rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
91,7563340678627345421,@usaclips543,https://cn.noxinfluencer.com/tiktok/channel/7563340678627345421,10,badcase,魔术娱乐为主，tech 仅弱陪衬，不适合科技推广
109,7297009874022745134,ShockForce,https://cn.noxinfluencer.com/tiktok/channel/7297009874022745134,5,badcase,鞋子+恶作剧为主，科技推广不匹配
115,6830654182627378181,Josh Evers nurse,https://cn.noxinfluencer.com/tiktok/channel/6830654182627378181,5,badcase,娱乐/家庭/职业向，科技属性很弱
119,6726053400150541317,gavin,https://cn.noxinfluencer.com/tiktok/channel/6726053400150541317,5,badcase,ASMR键盘声频道，不适合科技推广
135,6829959487311840262,Shawn Ryan Show,https://cn.noxinfluencer.com/tiktok/channel/6829959487311840262,10,badcase,播客/新闻/军事为主，科技标签弱且受众不匹配
141,7486211431013762091,TitanGauntlets,https://cn.noxinfluencer.com/tiktok/channel/7486211431013762091,5,badcase,科幻剪辑向，非科技产品推广场景
157,6807149037692978181,Techish,https://cn.noxinfluencer.com/tiktok/channel/6807149037692978181,8,badcase,ASMR 是强格式不匹配，科技推广转化风险高
199,6616681730772516870,xlptrades,https://cn.noxinfluencer.com/tiktok/channel/6616681730772516870,-5,badcase,娱乐内容为主，与tech推广无关
200,7595804875175707703,Funnnyky,https://cn.noxinfluencer.com/tiktok/channel/7595804875175707703,-5,badcase,娱乐/魔术向，tech仅是蹭词，不适合推广
204,7570400827405796407,funny,https://cn.noxinfluencer.com/tiktok/channel/7570400827405796407,10,badcase,娱乐短内容为主，tech 只是弱标签
213,7547690404847109134,USA Funny,https://cn.noxinfluencer.com/tiktok/channel/7547690404847109134,10,badcase,魔术娱乐为主，tech 标签偏泛
222,7551157470502536247,techexplain,https://cn.noxinfluencer.com/tiktok/channel/7551157470502536247,0,badcase,无有效标签与内容证据，难支撑科技判断
227,6659790466340454406,kaitlynd!,https://cn.noxinfluencer.com/tiktok/channel/6659790466340454406,0,badcase,无 tech 相关标签，内容也不偏科技推广
233,7127325382835848238,Ninjas Are Butterflies,https://cn.noxinfluencer.com/tiktok/channel/7127325382835848238,0,badcase,无 tech 相关标签，且是播客/喜剧内容，不适合
