rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
12,UC7gHFHG2MREPucAkEaTVtSQ,TIGERX1,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7gHFHG2MREPucAkEaTVtSQ,-15,badcase,游戏频道，与 lifestyle 目标不符
23,UCID66ZkESv5WbaUfT-WHN5w,Lwkdnwjxbiabd,https://cn--xtb.noxinfluencer.com/youtube/channel/UCID66ZkESv5WbaUfT-WHN5w,-15,badcase,音乐内容为主，与 lifestyle 目标不匹配
40,UCzlNHnwZwqWQZiTZHaMkIww,kason,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzlNHnwZwqWQZiTZHaMkIww,0,badcase,无 lifestyle 直击，gacha life/游戏娱乐为主
43,UCmqQ-9mv2WM12l71BYu4Dvw,Legacy Luxxee,https://cn--xtb.noxinfluencer.com/youtube/channel/UCmqQ-9mv2WM12l71BYu4Dvw,0,badcase,无有效标签，无法判断相关性
68,UCWRUHfmOq1Y-bMlZl4euahQ,Beautiful Plus,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWRUHfmOq1Y-bMlZl4euahQ,0,badcase,缺少 lifestyle 信号，纯娱乐内容不匹配
72,UCuQ9PbS08dQJNWfwjQE-Fnw,Jules LeBlanc,https://cn--xtb.noxinfluencer.com/youtube/channel/UCuQ9PbS08dQJNWfwjQE-Fnw,0,badcase,纯娱乐账号，和 lifestyle 受众不一致
73,UCJo-YJ5DL-FgzZ3X7Nz9xqg,Only Budget Stories,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJo-YJ5DL-FgzZ3X7Nz9xqg,-4,badcase,meme/crypto 为主，只有泛化 life 弱相关
81,UCWP7oFynSeqQpVxoL08q0Pw,Darrell Jones,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWP7oFynSeqQpVxoL08q0Pw,0,badcase,无标签无内容证据，无法判断相关性
100,UCejvDMiEIOEpFAwE7OympYA,Golden Retriever Luhu,https://cn--xtb.noxinfluencer.com/youtube/channel/UCejvDMiEIOEpFAwE7OympYA,5,badcase,宠物内容为主，人类 lifestyle 受众不匹配
105,UCtgHzc5-l1My5I_tw850SQA,Yung Bl4ck,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtgHzc5-l1My5I_tw850SQA,0,badcase,无 lifestyle 相关标签，偏音乐娱乐
108,UCqydU8zo7agMpipGPOCPRfg,Robyn’s Point of View,https://cn--xtb.noxinfluencer.com/youtube/channel/UCqydU8zo7agMpipGPOCPRfg,0,badcase,无标签、无视频信号，无法判断相关性
128,UCXv4jJtbY_3w9Ppd_WYn1yA,Hayley LeBlanc,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXv4jJtbY_3w9Ppd_WYn1yA,0,badcase,以游戏娱乐为主，缺少生活方式相关性
129,UCj61fiatFJj4XKxsL-ueEag,laoyanga,https://cn--xtb.noxinfluencer.com/youtube/channel/UCj61fiatFJj4XKxsL-ueEag,10,badcase,命中生活方式，但ASMR/吃播占主导，适配差
150,UCRBkZtvla7s4CDiSkiRi9kg,NOOBDAG MIME,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRBkZtvla7s4CDiSkiRi9kg,0,badcase,游戏账号，无生活方式相关信号
162,UCHCivXgXhEEcStnz_7JD8lg,Nara Pezzuol,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHCivXgXhEEcStnz_7JD8lg,0,badcase,无标签且无相关内容证据，相关性不足
176,UChLS4B1aJEdrQ1HELIioobg,Luxury Lavish,https://cn--xtb.noxinfluencer.com/youtube/channel/UChLS4B1aJEdrQ1HELIioobg,0,badcase,无标签和视频证据，难判断为 lifestyle 创作者
177,UCbl9UeD7KsRbD0Ft-3ZTxIw,Ericah Alise,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbl9UeD7KsRbD0Ft-3ZTxIw,0,badcase,无标签和视频证据，难判断为 lifestyle 创作者
183,UC8kqHUFa9S4krSDl6RMFsnQ,Shenell Latoya,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8kqHUFa9S4krSDl6RMFsnQ,0,badcase,无标签和视频证据，相关性不足
185,UChp0u4Mh3dF9-RawnIDR_4w,dayaaaries,https://cn--xtb.noxinfluencer.com/youtube/channel/UChp0u4Mh3dF9-RawnIDR_4w,0,badcase,无标签和视频证据，相关性不足
194,UCQC5NLAQssCIfLa8cXtb7yw,D.NaChelle,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQC5NLAQssCIfLa8cXtb7yw,0,badcase,无标签和视频证据，相关性不足
201,UCOXiKU5OmLNBdKqzkPfFg7g,Kesha Kailese,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOXiKU5OmLNBdKqzkPfFg7g,0,badcase,无标签无内容信号，无法判断生活方式相关性
