rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
141,6940842913,jryako,https://cn.noxinfluencer.com/instagram/channel/6940842913,0,badcase,无标签无证据，召回不足
161,51614463597,Levi The English Bulldog,https://cn.noxinfluencer.com/instagram/channel/51614463597,5,badcase,宠物犬账号，受众不符，生活方式推广不适配
163,9982404220,Anastasia,https://cn.noxinfluencer.com/instagram/channel/9982404220,0,badcase,派对装饰账号，与生活方式关键词无关
186,261616439,Morgan Hanbery,https://cn.noxinfluencer.com/instagram/channel/261616439,-5,badcase,吃播娱乐为主，生活方式推广不匹配
212,57381193191,Landen Levine,https://cn.noxinfluencer.com/instagram/channel/57381193191,0,badcase,缺少标签和内容证据，无法判断为 lifestyle 频道
273,29367378,Jarrett Campbell,https://cn.noxinfluencer.com/instagram/channel/29367378,0,badcase,娱乐吐槽为主，和lifestyle不相关
278,713877848,Sha’Tavia Levy,https://cn.noxinfluencer.com/instagram/channel/713877848,0,badcase,无标签无内容信号，无法判断为相关创作者
289,409624011,Daniel Ocampo,https://cn.noxinfluencer.com/instagram/channel/409624011,0,badcase,无标签无内容信号，相关性不足
304,14031356532,Mateo Caputo,https://cn.noxinfluencer.com/instagram/channel/14031356532,0,badcase,无标签与内容证据，无法判断相关性
352,6525690521,Aleysha Garcia,https://cn.noxinfluencer.com/instagram/channel/6525690521,0,badcase,无标签且无任何 lifestyle 信号
354,5917814754,Mario Martínez,https://cn.noxinfluencer.com/instagram/channel/5917814754,0,badcase,地域文化账号，缺少 lifestyle 信号
441,3631611729,Brez,https://cn.noxinfluencer.com/instagram/channel/3631611729,0,badcase,无标签，无法判断
