rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,7277748584333804586,𝐑𝐜 𝐀𝐜𝐭𝐢𝐨𝐧 𝐏𝐨𝐰𝐞𝐫,https://cn--xtb.noxinfluencer.com/tiktok/channel/7277748584333804586,20,badcase,虽命中标签，但主体是玩具遥控拖拉机，农产品推广不匹配
3,6914059295529649154,Miss chantalla,https://cn--xtb.noxinfluencer.com/tiktok/channel/6914059295529649154,-8,badcase,内容以生活杂项和美食为主，近10条多数无关
9,7508973741353862190,Saka 24 hours 🌠,https://cn--xtb.noxinfluencer.com/tiktok/channel/7508973741353862190,-6,badcase,有农业与评测标签，但近10条杂内容过多
21,6716608490759488514,birendra🇳🇵🇪🇺,https://cn--xtb.noxinfluencer.com/tiktok/channel/6716608490759488514,-4,badcase,个人生活内容占比高，农业信号零散
22,6830933288565163013,Chakie Kgomotso,https://cn--xtb.noxinfluencer.com/tiktok/channel/6830933288565163013,-2,badcase,仅有零散农业话题词，缺少稳定农产品内容
29,7002358421447181318,Agro_Papo,https://cn--xtb.noxinfluencer.com/tiktok/channel/7002358421447181318,-11,badcase,娱乐型内容为主，虽提到农业但推广商品场景不匹配
30,7137066297708594181,zineb 🫀,https://cn--xtb.noxinfluencer.com/tiktok/channel/7137066297708594181,-2,badcase,几乎无农业产品相关信号，内容也不稳定
68,7452216787150963730,Em Tình,https://cn--xtb.noxinfluencer.com/tiktok/channel/7452216787150963730,-20,badcase,以服饰杂货为主，农业相关性很弱
82,7244903961303139354,jemy pr,https://cn--xtb.noxinfluencer.com/tiktok/channel/7244903961303139354,-31,badcase,娱乐号为主，少量农产品提及不足以适配推广
107,7231555358429971458,Sajib Ahmed Joy ,https://cn--xtb.noxinfluencer.com/tiktok/channel/7231555358429971458,-25,badcase,ASMR/开箱型内容，和农产品推广格式不匹配
117,6772093225668084742,Youma stock❤️,https://cn--xtb.noxinfluencer.com/tiktok/channel/6772093225668084742,-6,badcase,创业杂谈为主，农产品露出太少
132,7257465428775683118,boho1999s,https://cn--xtb.noxinfluencer.com/tiktok/channel/7257465428775683118,-25,badcase,ASMR/美妆为主，与农产品推广格式明显不匹配
141,7139207117307069446,Alberts🐯,https://cn--xtb.noxinfluencer.com/tiktok/channel/7139207117307069446,-19,badcase,动漫娱乐为主，农业只占少量，受众不匹配
