rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
44,UCTRjA0gl308YljQ1WcLmF0A,gptars,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTRjA0gl308YljQ1WcLmF0A,10,badcase,娱乐短视频为主，偏玩梗非评测，不适合科技推广
63,UCpwOwri-jcVCf5R9IvppTaA,InterLink Labs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpwOwri-jcVCf5R9IvppTaA,-10,badcase,娱乐/宠物主导，科技相关信号太弱，不适合推广科技产品
66,UCBerG8MHeW0HKWOvioOOU-A,CRYPTO VANGUARD,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBerG8MHeW0HKWOvioOOU-A,-5,badcase,娱乐和加密投机为主，虽有AI/区块链但不适合科技产品推广
71,UC_OhoHv3-Jj5fnNZ01Zhzgw,Kahani Markaz,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_OhoHv3-Jj5fnNZ01Zhzgw,-20,badcase,故事娱乐为主，科技仅挂标签，近期内容完全不匹配
94,UCIWnQePSlaOuEPooD5-wkvw,Xecurity Pulse,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIWnQePSlaOuEPooD5-wkvw,2,badcase,科技标签强，但近10条多为移民/人生内容
104,UCYQeA6RxZrXYc7C5fTK-IUQ,DXFILMS,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYQeA6RxZrXYc7C5fTK-IUQ,-5,badcase,AI娱乐短视频为主，偏八卦梗，不适合科技推广
105,UCI-azkD2eJoAzrz0cijFhCA,Maye Muses,https://cn--xtb.noxinfluencer.com/youtube/channel/UCI-azkD2eJoAzrz0cijFhCA,-19,badcase,故事/娱乐导向，科技信号弱，产品推广不匹配
119,UCHgcgYu7i_kahtljmpGSw8w,Trevor ai,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHgcgYu7i_kahtljmpGSw8w,0,badcase,娱乐梗图为主，虽有科技标签但不适合产品推广
124,UCYG2S4MawCW-fH4mbbDA0CQ,Kristofer Prophet,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYG2S4MawCW-fH4mbbDA0CQ,-34,badcase,娱乐音乐为主，和tech产品推广场景明显不符
154,UCMPvjC9OecnyvoOZcPcoovg,Chad Rocky,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMPvjC9OecnyvoOZcPcoovg,-25,badcase,娱乐梗图频道，科技推广匹配度很低
184,UCZE3V7__ieMM6XZfaZYYhKA,Tim Truth,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZE3V7__ieMM6XZfaZYYhKA,-5,badcase,内容以政治阴谋为主，和科技产品推广场景明显不符
188,UCjP1tllfHHpMtN9LOF1ltIA,Lifeline Animal Rescue,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjP1tllfHHpMtN9LOF1ltIA,-2,badcase,动物救援与娱乐内容为主，科技标签偏泛，推广不合适
197,UCXj-TK6b0yW_EBK1c1TxexQ,AiStory2050,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXj-TK6b0yW_EBK1c1TxexQ,-15,badcase,娱乐短剧/表情包号，非科技产品推广场景
204,UCUxC2moitXNAtH97KiR1ldA,CRYPTO VECTOR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUxC2moitXNAtH97KiR1ldA,-18,badcase,以多米诺娱乐和加密推广为主，和tech产品推广偏离
221,UCDmLHomSDolCSBjF7GDwzcQ,CoinFluence,https://cn--xtb.noxinfluencer.com/youtube/channel/UCDmLHomSDolCSBjF7GDwzcQ,-15,badcase,以加密/ASMR为主，近期多交易内容，不适合科技产品推广
223,UC2L3LW-TMebP0fgBGKW6Tog,e-man,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2L3LW-TMebP0fgBGKW6Tog,-8,badcase,娱乐/故事向内容为主，AI标签不足以支撑科技推广
228,UClc8acUy0_G3oJYGymg_tMQ,Crypto Nitro,https://cn--xtb.noxinfluencer.com/youtube/channel/UClc8acUy0_G3oJYGymg_tMQ,-10,badcase,加密代币频道为主，科技相关证据弱且近期不匹配
239,UCTIkPi38UqlElB2m3N0erdw,LSP开车,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTIkPi38UqlElB2m3N0erdw,-13,badcase,娱乐/成人向为主，和科技推广格式冲突
248,UCGHdJQXNge_Dv7i9mGBC1zg,ariinbeijing,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGHdJQXNge_Dv7i9mGBC1zg,-8,badcase,以语言/街访为主，近期几乎无技术内容
252,UC1SC1rd8XEzv8JTbG9HQerg,NEXTGEN ROBOTICS,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1SC1rd8XEzv8JTbG9HQerg,-5,badcase,音乐娱乐频道，科技标签不足以抵消明显的内容格式错配
256,UCGmU4G4xhiTIrFuEukuAOlA,GESARA news,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGmU4G4xhiTIrFuEukuAOlA,-5,badcase,AI/区块链只出现在阴谋论语境，整体不适合科技推广
319,UClFjWrsaZmoXgnLY670wgeg,AI Adventure,https://cn--xtb.noxinfluencer.com/youtube/channel/UClFjWrsaZmoXgnLY670wgeg,2,badcase,娱乐短内容为主，科技词存在但不适合产品推广
327,UC7Yd5FcFQxYL3IWRnqTiF8A,SURVIVAL DISPATCH NEWS,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7Yd5FcFQxYL3IWRnqTiF8A,-13,badcase,政治生存新闻占主导，内容形态与 tech 推广明显不匹配
333,UCMTJbrdbmU2BHiwruFI5WGg,The Atlas Project,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMTJbrdbmU2BHiwruFI5WGg,1,badcase,近期内容大量偏生活化，和科技推广明显偏离
349,UCej4ERq-by9BUl5SgiRRrQw,DeFiVerse,https://cn--xtb.noxinfluencer.com/youtube/channel/UCej4ERq-by9BUl5SgiRRrQw,0,badcase,娱乐化交易梗号，科技主题弱，近10条基本不适合科技推广
369,UCBN2yAPk-PAj3wBTVUBecjw,Yggdendro,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBN2yAPk-PAj3wBTVUBecjw,13,badcase,有科技标签但内容混杂游戏/生活，近期偏离较多
376,UCl6iZb4PLS-JPKLj7bONVbg,Constancy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCl6iZb4PLS-JPKLj7bONVbg,-5,badcase,科技标签虽有，但黑客/作弊内容占主导，近期全不适合推广
392,UC9iHcD8v9l3yCId0aHsWvYA,Good Schitt!,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9iHcD8v9l3yCId0aHsWvYA,2,badcase,内容偏杂乱娱乐，近期多为吃播/梗图/风景类
