rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
15,UC2SEbI-QkAhcgNntgGdyy3w,Raiqa Doll,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2SEbI-QkAhcgNntgGdyy3w,-18,badcase,纯萌娃娱乐内容，缺少母婴产品或补充剂推广语境
18,UCM0IOabtzkNCWOhj_RJ9KuQ,COPS Camera USA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCM0IOabtzkNCWOhj_RJ9KuQ,-15,badcase,主体是搞笑剧集娱乐号，和婴儿补充剂推广语境明显不符
19,UCWGiaIitYCA_wLin0xBG2kg,Baby Velora,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWGiaIitYCA_wLin0xBG2kg,-12,badcase,只有情感型母婴短内容，没有产品、测评或购买引导
36,UCmjPb3T2-lNjHP03USh4xYg,Daily Life49,https://cn--xtb.noxinfluencer.com/youtube/channel/UCmjPb3T2-lNjHP03USh4xYg,-6,badcase,娱乐和鸡汤内容为主，补充剂转化不佳
44,UCbzZ2WEimYa_TZQ2KX-Jnyw,Life With Mia,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbzZ2WEimYa_TZQ2KX-Jnyw,-7,badcase,美妆假发频道，和婴儿补充剂受众错位
50,UCC9sMeAEKzdvYwau2UmOZ7g,Doc's Dollies,https://cn--xtb.noxinfluencer.com/youtube/channel/UCC9sMeAEKzdvYwau2UmOZ7g,-25,badcase,玩具娃娃频道，不是人类婴儿营养场景
54,UCkQn-x4xcjjbAGiHmrtzDdg,π Infant Care,https://cn--xtb.noxinfluencer.com/youtube/channel/UCkQn-x4xcjjbAGiHmrtzDdg,0,badcase,缺少标签和内容证据，无法判断为母婴补充剂受众
55,UC38Vpy52VKuMlJew2SDryRQ,Baby Food,https://cn--xtb.noxinfluencer.com/youtube/channel/UC38Vpy52VKuMlJew2SDryRQ,-15,badcase,日常娱乐向，最近内容多为家庭剧情，与婴儿补充剂不匹配
58,UCCuzBHSKtTNIpx9orXSJEaA,Kathey Pancholi,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCuzBHSKtTNIpx9orXSJEaA,-20,badcase,剧情化日常为主，偶有母婴梗，但不适合补充剂投放
59,UCJKqhMvm3yIP5qVRqZ5baIQ,Monkey Baby Ni,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJKqhMvm3yIP5qVRqZ5baIQ,-25,badcase,动物猴子频道，受众与人类婴儿补充剂完全错位
60,UCqgip2zfXmk2zE7Yxc3_-gQ,Officially TNT,https://cn--xtb.noxinfluencer.com/youtube/channel/UCqgip2zfXmk2zE7Yxc3_-gQ,-15,badcase,美妆生活vlog为主，缺少母婴或健康补充剂场景
61,UC20rN1FDG5XaMxvAD7Ed4LQ,VigorousSteve,https://cn--xtb.noxinfluencer.com/youtube/channel/UC20rN1FDG5XaMxvAD7Ed4LQ,-25,badcase,健身增肌频道，和婴儿补充剂人群完全不重合
66,UCRZyZl31WxCvfzFU_UKLB6Q,Cotton Bean Goat Farms,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRZyZl31WxCvfzFU_UKLB6Q,-25,badcase,山羊宠物内容，动物受众与婴儿补充剂完全不相关
67,UC_lBbPXABwZsbuC3RYneGzg,Mousetales,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_lBbPXABwZsbuC3RYneGzg,-20,badcase,野生动物娱乐向，且偏叙事，不适合做母婴补充剂推广
68,UCt7hdgaiGOf1oGtAcdSdR8g,Kun Ulan Youzi,https://cn--xtb.noxinfluencer.com/youtube/channel/UCt7hdgaiGOf1oGtAcdSdR8g,-20,badcase,泛娱乐生活向，最近内容与婴儿补充剂关联很弱
71,UC-sVPFgfkNdJbhtqYwqiTwQ,Wildlife Animals Daily,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-sVPFgfkNdJbhtqYwqiTwQ,-25,badcase,动物猴子娱乐内容，和人类婴儿补充剂无关
72,UC1F4BfDR20gxghX5pV_VSrw,Red Eye Loft,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1F4BfDR20gxghX5pV_VSrw,-25,badcase,鸽子饲养频道，宠物受众与婴儿补充剂错位
81,UC5e-Bix8R40HnpfhSiuBfxw,Nick Ortego,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5e-Bix8R40HnpfhSiuBfxw,-10,badcase,成人健身补剂内容，和婴儿补充品受众不匹配
82,UC5fdyC4LxyyYv8Am6nDrkmg,FoundMyFitness Clips,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5fdyC4LxyyYv8Am6nDrkmg,-10,badcase,成人健康补剂与营养科普为主，不适合婴儿补充品
86,UC6qnfAQh2HbCwclogKd7RiQ,FitLife Fix,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6qnfAQh2HbCwclogKd7RiQ,-10,badcase,电子/美妆评测为主，缺少母婴受众
91,UC9xC5ClCMLOShjp1Ms0dbRw,Muscular Development Magazine,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9xC5ClCMLOShjp1Ms0dbRw,-10,badcase,健美与成人补剂内容为主，目标受众不对
92,UCA8h2t8ha36AwNHEl6f0U4w,Shassy’s Walkabout.,https://cn--xtb.noxinfluencer.com/youtube/channel/UCA8h2t8ha36AwNHEl6f0U4w,-25,badcase,动物/宠物内容，和人类婴儿补充品受众冲突
94,UCAvcQ5ydl3225_ZvRiuIuKA,Newborn Monkey Daily,https://cn--xtb.noxinfluencer.com/youtube/channel/UCAvcQ5ydl3225_ZvRiuIuKA,-25,badcase,猴子内容为主，属于动物受众，直接排除
95,UCB-5_hzbCUgqETPOgE6lnvg,Khám Phá Ấn Độ,https://cn--xtb.noxinfluencer.com/youtube/channel/UCB-5_hzbCUgqETPOgE6lnvg,-25,badcase,猴子日常内容，动物向，和人类婴儿补充品无关
96,UCBMhomdtMa9bqpg96ZFDGeA,Dabaiming Evaluation,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBMhomdtMa9bqpg96ZFDGeA,-10,badcase,儿童数学教育号，和婴儿补充品主题不符
98,UCCrW05EM_mAoU6d8lTwYbOg,Malori Mayor,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCrW05EM_mAoU6d8lTwYbOg,-7,badcase,家庭生活号但近期转向搬家签证，母婴相关很弱
101,UCES42MllBd5QUqqWQCMoq8A,Mosie Baby,https://cn--xtb.noxinfluencer.com/youtube/channel/UCES42MllBd5QUqqWQCMoq8A,-10,badcase,母婴相关但偏受孕工具，和婴儿补充品场景不匹配
103,UCEdmP6wgQNEeTx5i1ITTy2w,Sweet Justice,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEdmP6wgQNEeTx5i1ITTy2w,-22,badcase,故事型 Reddit 频道，和婴儿补充品推广强冲突
104,UCEvXtup96sm0YQN7JZnczyw,Ivet Parris,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEvXtup96sm0YQN7JZnczyw,-10,badcase,美妆测评号，缺少母婴和营养补充语境
106,UCGf-WGUpkrURqJU1jb_mJ5g,Haywire Homestead,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGf-WGUpkrURqJU1jb_mJ5g,-15,badcase,农场/宠物向，和人类婴儿补充品不匹配
107,UCJGhrfCU3HZmH_tbrIc06ZA,My Dog Supplement,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJGhrfCU3HZmH_tbrIc06ZA,-25,badcase,狗狗补充品号，宠物受众与人类婴儿互斥
109,UCKe7bRGeqm302VJzifAuYEQ,Brittany Olga,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKe7bRGeqm302VJzifAuYEQ,-9,badcase,家庭教育号，和婴儿补充品关联很弱
110,UCKjf2xTgThQA1eCbpQNUISg,Nanning First Sister,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKjf2xTgThQA1eCbpQNUISg,-22,badcase,娱乐型育儿内容，不适合做补充品推广
111,UCL9tUloGC80saqTOxgrtJQA,Ly Thi Ly - Daily Vlog,https://cn--xtb.noxinfluencer.com/youtube/channel/UCL9tUloGC80saqTOxgrtJQA,-20,badcase,日常故事号，近期内容与母婴营养无关
115,UCMfx9MEte3jqqrRyS47e8Rg,Doctor T,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMfx9MEte3jqqrRyS47e8Rg,-10,badcase,娱乐剪辑号，和婴儿补充品完全不相关
118,UCPJRaQe2LVt1_StkIm6VTSw,Annie Wang Tamaki,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPJRaQe2LVt1_StkIm6VTSw,-20,badcase,美妆防晒测评，和婴儿补充品品类错位
119,UCPKEBByb9bj74i1TAFnKnpg,Jaime James Intuitive,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPKEBByb9bj74i1TAFnKnpg,-22,badcase,灵性塔罗号，和母婴补充品完全不相干
122,UCQYQ5tePIoJIINFVEC1mB7A,CBNation.co: CBNation TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQYQ5tePIoJIINFVEC1mB7A,-13,badcase,商业营销号，与婴儿补充品无关
124,UCS9Sa7RI5isc7geozwoXVSg,Keseju Elchimo,https://cn--xtb.noxinfluencer.com/youtube/channel/UCS9Sa7RI5isc7geozwoXVSg,-20,badcase,育儿故事号偏娱乐叙事，缺少商品推广能力
