rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
76,UCejvDMiEIOEpFAwE7OympYA,Golden Retriever Luhu,https://www.youtube.com/channel/UCejvDMiEIOEpFAwE7OympYA,5,badcase,宠物狗垂类，生活方式仅是泛标签，推广人群不匹配
78,UCtgHzc5-l1My5I_tw850SQA,Yung Bl4ck,https://www.youtube.com/channel/UCtgHzc5-l1My5I_tw850SQA,5,badcase,犯罪/纪录片向为主，生活方式标签不足以支撑推广
80,UCj61fiatFJj4XKxsL-ueEag,laoyanga,https://www.youtube.com/channel/UCj61fiatFJj4XKxsL-ueEag,5,badcase,ASMR吃播主导，属于格式错配，不适合生活方式推广
92,UCQzJ7otsvfSGm8T0nyGPOAw,Jason & Lucia,https://www.youtube.com/channel/UCQzJ7otsvfSGm8T0nyGPOAw,5,badcase,喜剧/恶搞为主，生活方式只是弱标签
115,UCZ1v46dblBKKAfOHaLQN5Jw,btsofvlone,https://www.youtube.com/channel/UCZ1v46dblBKKAfOHaLQN5Jw,5,badcase,挑战和娱乐主导，生活类推广不合适
165,UCiNAR06dRIpWbnJfEt-D0zg,Kdrama House,https://www.youtube.com/channel/UCiNAR06dRIpWbnJfEt-D0zg,5,badcase,生活方式仅是泛标签，核心是韩剧/剧集解说娱乐
185,UCRC-vx51-VcFbzl38l84zpQ,Bvic LIFESTYLE,https://www.youtube.com/channel/UCRC-vx51-VcFbzl38l84zpQ,10,badcase,喜剧短视频为主，生活方式标签难支撑产品推广
214,UC8T0ZrWuXtdskJBdA76vgPA,Angry Grandma,https://www.youtube.com/channel/UC8T0ZrWuXtdskJBdA76vgPA,5,badcase,恶搞幽默恐怖为主，和生活方式推广匹配低
273,UC4CoHBR01SHu6fMy2EaeWcg,FREAKBAiT,https://www.youtube.com/channel/UC4CoHBR01SHu6fMy2EaeWcg,5,badcase,娱乐搞笑主导，生活方式投放不匹配
328,UCnWi59TPymx0_qt7PX3VeNA,PIX11 News,https://www.youtube.com/channel/UCnWi59TPymx0_qt7PX3VeNA,10,badcase,新闻政治为主，lifestyle 只是栏目标签
344,UCznfWbLFwcBcBdu5LJEpI8g,Denny2tymes,https://www.youtube.com/channel/UCznfWbLFwcBcBdu5LJEpI8g,10,badcase,恶搞娱乐为主，lifestyle 只是泛标签
359,UCI8Wl-6sEf53NCWZDbNHWCw,Chingy,https://www.youtube.com/channel/UCI8Wl-6sEf53NCWZDbNHWCw,5,badcase,歌手音乐号，虽有lifestyle但主领域不适合找生活类创作者
370,UCKUcTtypHxWfCy4O3fpEkJg,Ronny J,https://www.youtube.com/channel/UCKUcTtypHxWfCy4O3fpEkJg,5,badcase,音乐人频道，生活方式标签不足以覆盖主娱乐定位
430,UC2z1zeSEc_ojd7O7dGgk8NA,Lifestyle Icon,https://www.youtube.com/channel/UC2z1zeSEc_ojd7O7dGgk8NA,5,badcase,剧情/连续剧为主，和生活方式推广不匹配
446,UCZFn91w0Ozjk3DQFHa3gP3g,Ned's Declassified Podcast Survival Guide,https://www.youtube.com/channel/UCZFn91w0Ozjk3DQFHa3gP3g,10,badcase,怀旧娱乐播客为主，不适合生活方式推广
4760,UCo81jZz43ddX26AJouHUGZQ,Ghibli village life,https://www.youtube.com/channel/UCo81jZz43ddX26AJouHUGZQ,-15,badcase,以娱乐短视频为主，和生活方式推广不匹配
4802,UC4SJWJdK93MtYvYx1DK8vbA,UKDiariesBD,https://www.youtube.com/channel/UC4SJWJdK93MtYvYx1DK8vbA,-15,badcase,钓鱼和 ASMR 为主，和 lifestyle 召回不匹配
4804,UCFjYe3UGytuxxrouNxCt_cw,Tamoo Animation,https://www.youtube.com/channel/UCFjYe3UGytuxxrouNxCt_cw,-15,badcase,情感故事短视频为主，不适合 lifestyle 召回
4841,UC7wR3_kQGnrLdh5hShLLDwQ,Heather Blankenship,https://www.youtube.com/channel/UC7wR3_kQGnrLdh5hShLLDwQ,0,badcase,无 lifestyle 相关标签，内容偏房地产金融，不适合
4846,UCiQs_tfAKX1p5QyQkPc5vog,Swiss Paradise,https://www.youtube.com/channel/UCiQs_tfAKX1p5QyQkPc5vog,0,badcase,无 lifestyle 相关标签，工程施工类内容偏离场景
4866,UCf2q93Ak98MGUZAAtLybzFA,Teen Scene,https://www.youtube.com/channel/UCf2q93Ak98MGUZAAtLybzFA,-7,badcase,整蛊娱乐为主，生活方式相关性弱
4891,UCfdcn_Sw9d-gEFz9x1x5-6A,Jack Bulowski,https://www.youtube.com/channel/UCfdcn_Sw9d-gEFz9x1x5-6A,-12,badcase,直播闲聊/娱乐格式，与 lifestyle 推广不匹配
4893,UCJo-YJ5DL-FgzZ3X7Nz9xqg,Only Budget Stories,https://www.youtube.com/channel/UCJo-YJ5DL-FgzZ3X7Nz9xqg,-15,badcase,故事梗/meme 频道，和 lifestyle 推广明显不符
4898,UC8lKPjbGAq7TQ_1uZBlvpnA,Idaman Pria,https://www.youtube.com/channel/UC8lKPjbGAq7TQ_1uZBlvpnA,0,badcase,无有效标签，缺少可判定的 lifestyle 信号
4903,UCTxcZ4gNy5WfcyW69a8AqQw,VILLAGE ROUTINE,https://www.youtube.com/channel/UCTxcZ4gNy5WfcyW69a8AqQw,0,badcase,动物/玩梗娱乐向，和lifestyle推广不匹配
4904,UCX2QlSKDE1fCaEq7n416MxQ,Lexi Chanel McCollum,https://www.youtube.com/channel/UCX2QlSKDE1fCaEq7n416MxQ,2,badcase,有momlife线索，但主体是反应/故事向
4929,UCxIDbkFLfk50thp8eSGEz7A,LaMont Cheatham,https://www.youtube.com/channel/UCxIDbkFLfk50thp8eSGEz7A,0,badcase,无标签和内容证据，难以支持 lifestyle 推广相关性
4930,UCgwKk8FgUNmHs7pQ_N_j5JA,Alina_Flycloud in English,https://www.youtube.com/channel/UCgwKk8FgUNmHs7pQ_N_j5JA,0,badcase,无标签和内容证据，无法证明与lifestyle推广相关
4948,UCSYQmeN8ANXsteygF_ETZQg,ExoDaily Dose,https://www.youtube.com/channel/UCSYQmeN8ANXsteygF_ETZQg,-2,badcase,生活方式泛泛，但以娱乐挑战为主，缺少推广场景相关性
4951,UCJxO8JwVHzy66qvGetik31Q,ZONE15BABY,https://www.youtube.com/channel/UCJxO8JwVHzy66qvGetik31Q,10,badcase,娱乐短视频为主，lifestyle 只是弱装饰标签
4964,UCFUvZTupF8xgOGuAZu0RErg,Pam & Chris,https://www.youtube.com/channel/UCFUvZTupF8xgOGuAZu0RErg,10,badcase,娱乐和宠物内容占主导，lifestyle 只是附带
4969,UCs7A_x_rc5G3ANRMmG7Nlaw,Why Not,https://www.youtube.com/channel/UCs7A_x_rc5G3ANRMmG7Nlaw,10,badcase,偏哲学、知识与励志，不是典型 lifestyle 频道
